flex1,flex2,flex3,flex4,flex5,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,label
10.0,0.0,309.0,2507.0,256.0,13972.0,852.0,9264.0,-882.0,-259.0,66.0,y
0.0,0.0,300.0,2518.0,244.0,13952.0,812.0,9220.0,-877.0,-273.0,104.0,y
0.0,0.0,301.0,2499.0,238.0,13840.0,1180.0,9404.0,-560.0,-290.0,80.0,y
0.0,0.0,299.0,2507.0,240.0,14064.0,1176.0,9132.0,-799.0,-237.0,156.0,y
0.0,0.0,296.0,2521.0,259.0,13892.0,1024.0,9224.0,-489.0,-245.0,131.0,y
0.0,0.0,290.0,2490.0,245.0,13928.0,1512.0,9360.0,-734.0,-447.0,-49.0,y
11.0,0.0,303.0,2512.0,260.0,14164.0,924.0,9404.0,-829.0,-125.0,1.0,y
6.0,333.0,426.0,0.0,16.0,13168.0,-844.0,10692.0,-410.0,-697.0,-100.0,a
0.0,334.0,415.0,2481.0,19.0,13156.0,-748.0,10648.0,-670.0,-433.0,-19.0,a
0.0,330.0,416.0,2494.0,9.0,13500.0,-700.0,10836.0,-617.0,-209.0,-116.0,a
0.0,326.0,433.0,2476.0,26.0,13084.0,-808.0,10544.0,-815.0,-59.0,379.0,a
0.0,331.0,442.0,2501.0,6.0,13032.0,-796.0,10628.0,-705.0,-450.0,1.0,a
